move,ND_1_seq,ND_2_3_seq,AR_1_seq,AR_2_3_seq,CE_1_seq,CE_2_3_seq,SR_seq
ND_1,3,15,47,5,3,7,0
ND_2_3,0,1,13,4,2,1,0
AR_1,55,2,3,1,1,1,12
AR_2_3,5,1,2,0,0,1,3
CE_1,0,1,4,1,0,0,0
CE_2_3,0,1,6,1,0,0,2
SR,0,0,0,0,0,0,0
