move,ND_1_seq,ND_2_3_seq,AR_1_seq,AR_2_3_seq,CE_1_seq,CE_2_3_seq,SR_seq
ND_1,1,2,35,3,2,15,1
ND_2_3,0,1,6,1,3,3,0
AR_1,31,7,4,1,0,0,16
AR_2_3,7,0,0,0,0,0,4
CE_1,0,1,2,0,0,2,0
CE_2_3,1,1,12,6,0,0,0
SR,0,0,0,0,0,2,0
