filename,segment,location ,split
College-RH.C.P02.S01.TL.09 - Final,ND-1,0,b
College-RH.C.P02.S01.TL.09 - Final,ND-2/3,0.08,b
College-RH.C.P02.S01.TL.09 - Final,AR-1,0.15,b
College-RH.C.P02.S01.TL.09 - Final,ND-1,0.23,b
College-RH.C.P02.S01.TL.09 - Final,AR-1,0.31,b
College-RH.C.P02.S01.TL.09 - Final,ND-1,0.38,b
College-RH.C.P02.S01.TL.09 - Final,ND-2/3,0.46,b
College-RH.C.P02.S01.TL.09 - Final,CE-2/3,0.54,e
College-RH.C.P02.S01.TL.09 - Final,AR-1,0.62,e
College-RH.C.P02.S01.TL.09 - Final,AR-1,0.69,e
College-RH.C.P02.S01.TL.09 - Final,ND-1,0.77,e
College-RH.C.P02.S01.TL.09 - Final,CE-2/3,0.85,e
College-RH.C.P02.S01.TL.09 - Final,AR-1,0.92,e
College-RH.C.P02.S01.TL.09 - Final,SR,1,e
segment,,,
