filename,segment,location ,split 
Middle-RH.P02.S02.NOWEB-NOCONF.TL.09 - Final,ND-1,0.33,b
Middle-RH.P02.S02.NOWEB-NOCONF.TL.09 - Final,AR-1,0.42,b
Middle-RH.P02.S02.NOWEB-NOCONF.TL.09 - Final,ND-1,0.5,b
Middle-RH.P02.S02.NOWEB-NOCONF.TL.09 - Final,AR-1,0.58,e
Middle-RH.P02.S02.NOWEB-NOCONF.TL.09 - Final,ND-1,0.67,e
Middle-RH.P02.S02.NOWEB-NOCONF.TL.09 - Final,AR-1,0.75,e
Middle-RH.P02.S02.NOWEB-NOCONF.TL.09 - Final,ND-1,0.83,e
Middle-RH.P02.S02.NOWEB-NOCONF.TL.09 - Final,AR-2/3,0.92,e
Middle-RH.P02.S02.NOWEB-NOCONF.TL.09 - Final,SR,1,e
segment,,,
